subject_id,d_median_cognitive_control,d_median_gambling,d_median_rest,e_median_cognitive_control,e_median_gambling,e_median_rest,m_median_cognitive_control,m_median_gambling,m_median_rest
sub-S200116,0.0776216592639684,0.046637491788715076,0.04048060672357674,0.0024097777204587986,-0.0015755684580653993,0.017374824732542024,-0.011881447106134126,0.030079548479989098,-0.02531595318578185
sub-S200120,0.0927168950438499,0.06786376331001517,0.021346519642975178,0.013977662660181498,0.0048116995021701015,-0.0200436059385538,0.08859788253903385,0.015221161156659951,-0.0147765930742025
sub-S200121,0.02730391616933045,0.02506995177827775,0.022305472753942023,0.01970910094678399,0.045419636182487004,0.05616499274037775,0.012964861816726625,0.009755198378115875,0.0227163441013545
sub-S200122,-0.010583869181573375,0.08944880031049247,0.06380011793226,0.06760193943046028,0.04734887322410938,-0.006323110079392777,0.008302051224745824,0.0155393158202059,0.11006630095653233
sub-S200131,0.011048594955354926,0.0415409859269857,0.07119968160986898,0.015193167724646624,0.02257141345762645,0.005094107706099775,0.022919268580153578,0.04042332223616538,0.007194665260612974
sub-S200203,0.03220699261873958,,0.016100460896268504,0.02199013717472555,,-0.032381998375058126,0.01621913907001725,,0.0472137226934137
sub-S200205,0.021880371961742626,0.027376438956707674,0.008805883058812452,0.012473816517740474,0.04776999354362487,0.047963678836822496,-0.0045487727038562254,0.0328594581224024,0.041575057664886124
sub-S200207,0.0421915355836972,0.05176064092665905,0.0211088303476572,-0.058898158371448524,0.008421450387686501,0.022070407867431623,0.011486124174552949,0.02381738612893965,0.039767746813595226
sub-S200211,0.0820751134306192,0.060952598229050595,0.024764691712334752,0.02846583444625138,-0.02754498086869715,0.013850836534402347,0.021800297312438474,0.044477093499153804,0.03559374669566748
sub-S200212,0.06331589445471758,0.04734383709728715,0.07854863815009593,0.05855034908745435,0.017996334005147226,-0.10412253672257066,-0.08424903079867363,0.012396288686431925,-0.012409417657181624
sub-S200214,0.03979412605985995,0.017238158266991373,0.057062346488237325,-0.031198406126350147,0.0506673693307675,-0.009288441389799125,0.044715940952301,0.01740252401214095,-0.0264930725097656
sub-S200217,0.01665761647745965,0.026358961593359702,-0.013141904957592477,0.08031558617949487,0.07467581331729885,-0.05083506461232898,-0.010446615517139428,0.018074739957228275,0.02476197574287655
sub-S200221,0.044133296702057075,0.04472620971500868,0.08144692797213793,0.0519433208974078,0.051149006001651225,0.0132035305723548,0.09645439870655532,0.04669334285426885,0.0546572604216635
sub-S200225,0.05095744412392372,0.040402221959084224,0.023150567896664125,0.044472027919255176,0.019326043315231797,0.031192570924758904,0.0284221703186631,0.03857093816623085,0.003590463777072725
sub-S200228,0.11960981972515577,0.05108095193281765,0.11113831028342246,-0.013914894952904398,-0.017497072461992474,0.04067261470481753,0.05747586226789277,0.023041518448735563,-0.09549024514853952
sub-S200302,0.010378811508417126,0.013931048451922775,0.00984119856730105,0.0031671521719545247,0.022245331158046625,0.09888389799743885,0.045487016672268475,0.034283151151612345,-0.0599845452234149
sub-S200303,0.02636021003127095,0.024299689102917875,0.0377247901633382,0.03278818354010582,0.027286233031190876,0.0092815794050694,0.02444998919963835,0.03991404268890612,0.179332360625267
sub-S200306,0.0684445574879646,0.0449958089739084,0.06623325496911997,0.009481140528805524,0.014935572307877,0.018375501502305252,0.02665078954305495,0.037394901039078776,-0.0363144617294892
sub-S200309,0.0345184914767742,0.03444670978933567,0.08061241917312137,0.08698198804631825,0.019932358292862776,0.006796677596867102,0.030727140256203697,0.02452099253423505,0.007428120414260802
sub-S200310,0.055562488269060795,0.06411200482398267,0.06725465646013618,0.06315764412283892,0.02731502300594,-0.04213897231966257,-0.03539397916756565,0.004432006797287601,0.07607873855158685
sub-S200311,0.002665311330929424,0.06368949287571007,0.22634179145097727,0.041822511237114626,0.025557589950039948,0.06980425515212113,-0.01947004115208985,0.03241243748925623,-0.1043590363115072
sub-S200313,0.04728219984099268,0.09964299947023385,0.102270339615643,0.0463465149514377,-0.0029899692744948256,0.06408503884449596,0.02124406211078165,-0.0017635901458561499,0.0346052749082446
sub-S201105,0.045862928731367,0.06898193247616287,0.016827340237796272,-0.03396124613936988,-0.06982125993818038,0.0286536235362291,0.0715046981349587,0.06478488259017465,0.02402634266763925
sub-S201118,-0.0011011932510882486,0.0322360858917818,0.10134466784074897,0.04413357330486175,0.004348089918494252,0.043606820865534204,0.08047343045473096,0.012008452802547224,0.033174380660057054
sub-S201120,0.1280698329210281,0.04699153872206803,0.059345664572901996,0.033572977408766726,0.006496675312519077,0.06020380044355982,-0.011938840616494376,0.0108759064460173,-0.03324192797299475
sub-S201126,0.004101140104467051,0.02733454853296275,0.15211725048720834,0.0883566921111196,0.0018531598616391767,-0.021698408760130405,0.05783875100314612,0.040736243943683775,0.054595483001321554
sub-S201210,0.057644764892756904,0.04060430172830817,0.05646093888208267,-0.012250924715772249,-0.05487310199532655,0.0036922537838108747,0.04397673951461908,0.030197613610653172,0.038176165428012575
sub-S201222,0.05328873824328182,0.0420614145696163,0.14739583758637306,0.05034791305661195,0.005570633336901675,0.06810450274497268,0.0267882763873785,0.03537580452393733,0.15654052887111897
sub-S201223,0.07542657200247042,0.046929447911679675,-0.047791062621399726,0.03542194282636048,0.06949495337903497,-0.08744038594886655,0.020022988319396952,0.019333597956574477,0.027071060612797723
sub-S210118,0.06008065678179257,0.050514593254774774,0.10091394581831985,-0.0505724400281906,-0.019839993212372075,-0.005201500607654445,0.04818686516955492,-0.011718115187250102,-0.08197238110005856
sub-S210120,0.020866074017249076,0.0190356831590179,0.11028718203306194,0.052597735135350376,0.041918780887499424,0.01687029027380048,0.06703839963302011,0.023574076127260875,0.0650350339710712
sub-S210127,0.04464189719874408,0.08499784953892227,0.19457786530256266,-0.0299138305708766,0.0018105928320437496,0.08761377865448593,0.0175773970549926,-0.009485288523137524,-0.07983933459036045
sub-S210128,0.1191773377358913,0.008300051558762775,0.062351969070732524,0.0794214179186383,0.0385425630956888,-0.0719529509078711,-0.08726360462605948,0.0135395696852356,0.03779028495773675
sub-S210202,0.16083858162164685,0.11906629428267475,0.1664373781532049,-0.036618391168303774,-0.030781417619436924,0.04538807738572355,-0.020659830828662924,0.004348850809037675,-0.13236752897500986
sub-S210203,0.1347331032156944,0.0927780177444219,0.05454842792823909,0.07270600600168106,0.005022305296733975,0.005857991054654125,0.005180274136364474,-0.01590068847872315,0.01573564880527555
sub-S210204,0.11535918153822414,0.08300348371267316,0.06063268333673473,-0.003766170702874678,0.036883562337607104,-0.01411321805790065,0.016784748062491403,-0.00047830468975007534,-0.015562099288217675
sub-S210208,2.5387504138050295e-05,0.0111876123701222,-0.004966264474205676,0.0532952880021184,-0.011738410947145901,-0.009862459148280356,0.03671208664309232,0.0844973865896463,0.04387431358918542
sub-S210209,0.06301502510905262,0.06859976239502423,0.06577144004404546,-0.08605485968291755,-0.06219082418829197,0.006345872534438952,0.01845024857902895,0.01056985557079315,0.007990996818989524
sub-S210215,0.0281772296875715,0.14008619263768193,0.058751409174874376,0.04168820590712125,0.028709191828966127,-0.04538315115496517,-0.003638299458543824,-0.03429380123270675,0.0050003807991743
sub-S210217,0.048005746561102555,0.035842000972479526,0.16643669735640282,0.02492505498230458,0.034822736168280174,0.0743328302633017,-0.01290993718430395,0.026387675898149575,-0.06003067269921298
sub-S210224,0.04725319612771268,0.009679955430328825,0.06402870733290911,0.06165144033730028,0.024276357435155625,0.03163678734563285,0.010691264062188576,0.03998893406242127,0.017584119457751474
sub-S210225,0.062244555214419926,0.05913027934730045,0.03574381163343785,0.010226047714240826,0.02418050472624597,0.008471292734611776,0.008322031819261576,0.0358801803085953,0.02068628312554205
sub-S210315,0.011259687133133401,0.008692433126270724,0.007581532001495397,0.0525701288133859,-0.06688439287245267,0.014523958787322051,0.013560815947130324,0.0362556590698659,0.00286248698830605
sub-S210316,0.04628229886293407,0.06921154912561175,-0.00926375389099125,-0.028101166710257523,0.028357529608911122,-0.07652686815708873,0.009956464404240275,0.022611955297179475,0.054839905351400375
sub-S210317,0.0592784266918897,0.03619589889422053,0.0335214748047292,0.009299587458372147,0.028765805647708448,-0.02401658240705725,0.025540937902405823,0.0352748829172924,0.017837427556514723
