feature,task1,task2,wilcoxon_stat,p,cohen_dz,n_pairs,p_fdr,sig_fdr05
eeg_conventional_complexity_hjorth_complexity,gambling,cognitive_control,310.0,0.03032758434085281,0.28805030419081695,44,0.04695884026970758,True
eeg_conventional_complexity_hjorth_complexity,gambling,rest,255.0,0.0044332973145628785,-0.04341230830182043,44,0.008184548888423775,True
eeg_conventional_complexity_hjorth_complexity,cognitive_control,rest,187.0,0.0001890477433335036,-0.22321145960606303,44,0.0003780954866670072,True
eeg_conventional_complexity_permutation_entropy,gambling,cognitive_control,358.0,0.1117467520007267,-0.22074233150476477,44,0.14496875935229409,False
eeg_conventional_complexity_permutation_entropy,gambling,rest,65.0,1.989701559068635e-08,0.7870363482508015,44,5.969104677205905e-08,True
eeg_conventional_complexity_permutation_entropy,cognitive_control,rest,46.0,2.17801243707072e-09,0.9244966487631923,44,8.041892075338042e-09,True
eeg_conventional_complexity_spectral_entropy,gambling,cognitive_control,335.0,0.06226057020364806,-0.2033344380490399,44,0.0877160289951072,False
eeg_conventional_complexity_spectral_entropy,gambling,rest,150.0,2.13862452937974e-05,0.6238944653034408,44,4.6660898822830695e-05,True
eeg_conventional_complexity_spectral_entropy,cognitive_control,rest,124.0,3.5855526903105783e-06,0.7111526189910777,44,8.19554900642418e-06,True
eeg_conventional_peak_alpha_frequency,gambling,cognitive_control,204.5,0.17231349962321674,-0.21665174694961314,44,0.2176591574188001,False
eeg_conventional_peak_alpha_frequency,gambling,rest,366.0,0.19592594276566233,-0.23553982164928625,44,0.24113962186543056,False
eeg_conventional_peak_alpha_frequency,cognitive_control,rest,444.5,0.5670262637786436,-0.1339647541344198,44,0.5790906523696786,False
eeg_conventional_peak_median_frequency,gambling,cognitive_control,417.0,0.369352905051187,-0.14928129858947164,44,0.4123009172664413,False
eeg_conventional_peak_median_frequency,gambling,rest,277.0,0.01015665109400743,-0.34015305944135593,44,0.017411401875441306,True
eeg_conventional_peak_median_frequency,cognitive_control,rest,410.0,0.32744430846742034,-0.26357652677122034,44,0.37422206681990894,False
eeg_conventional_peak_spectral_edge_95,gambling,cognitive_control,271.0,0.008168734191485783,-0.36152349779997073,44,0.014522194118196947,True
eeg_conventional_peak_spectral_edge_95,gambling,rest,96.0,3.872868319376721e-07,0.5669728604465809,44,9.294883966504131e-07,True
eeg_conventional_peak_spectral_edge_95,cognitive_control,rest,76.0,6.149230102892034e-08,0.8656663386210162,44,1.7362532055224565e-07,True
eeg_conventional_ratio_alpha_theta,gambling,cognitive_control,302.0,0.023629227170545164,-0.3762550567973692,44,0.03780676347287226,True
eeg_conventional_ratio_alpha_theta,gambling,rest,24.0,8.662937034387141e-11,-0.8550685506514104,44,4.6202330850064754e-10,True
eeg_conventional_ratio_alpha_theta,cognitive_control,rest,23.0,7.275957614183426e-11,-0.8620794388933191,44,4.3655745685100555e-10,True
eeg_conventional_ratio_beta_alpha,gambling,cognitive_control,433.0,0.4766892327322694,0.0977880122566153,44,0.4974148515467159,False
eeg_conventional_ratio_beta_alpha,gambling,rest,51.0,4.051571522722952e-09,0.4585681868015491,44,1.2965028872713447e-08,True
eeg_conventional_ratio_beta_alpha,cognitive_control,rest,49.0,3.1726585802971385e-09,0.4677171104342683,44,1.087768656101876e-08,True
eeg_conventional_ratio_delta_alpha,gambling,cognitive_control,402.0,0.28341325604878875,0.16381304381446632,44,0.33180088513028927,False
eeg_conventional_ratio_delta_alpha,gambling,rest,2.0,3.410605131648481e-13,0.7445010764704114,44,8.185452315956354e-12,True
eeg_conventional_ratio_delta_alpha,cognitive_control,rest,3.0,5.684341886080801e-13,0.9744259058385119,44,9.094947017729282e-12,True
eeg_conventional_ratio_slowing_index,gambling,cognitive_control,402.0,0.28341325604878875,0.21866780813789566,44,0.33180088513028927,False
eeg_conventional_ratio_slowing_index,gambling,rest,12.0,7.958078640513122e-12,0.5923828342867202,44,6.366462912410498e-11,True
eeg_conventional_ratio_slowing_index,cognitive_control,rest,26.0,1.2153122952440754e-10,0.8038993937008904,44,5.833499017171562e-10,True
eeg_conventional_ratio_theta_alpha,gambling,cognitive_control,317.0,0.03743385246366415,0.305656120011019,44,0.05615077869549623,False
eeg_conventional_ratio_theta_alpha,gambling,rest,28.0,1.6859758034115657e-10,1.295578518633277,44,7.356985323977741e-10,True
eeg_conventional_ratio_theta_alpha,cognitive_control,rest,32.0,3.143441063002683e-10,1.3402880993682176,44,1.2573764252010733e-09,True
eeg_conventional_relative_alpha,gambling,cognitive_control,424.0,0.41437451547221826,-0.23176294440450762,44,0.45204492596969265,False
eeg_conventional_relative_alpha,gambling,rest,14.0,1.2505552149377763e-11,-1.2672794779062837,44,8.575235759573324e-11,True
eeg_conventional_relative_alpha,cognitive_control,rest,8.0,2.8421709430404007e-12,-1.3627615884749344,44,2.7284841053187847e-11,True
eeg_conventional_relative_beta,gambling,cognitive_control,484.0,0.9034548557265225,0.008512758536333702,44,0.9034548557265225,False
eeg_conventional_relative_beta,gambling,rest,352.0,0.09658928540682155,0.14461179466171176,44,0.12878571387576207,False
eeg_conventional_relative_beta,cognitive_control,rest,321.0,0.042082897992031576,0.15526429648688034,44,0.061211487988409564,False
eeg_conventional_relative_delta,gambling,cognitive_control,428.0,0.44146738626943716,0.16873824537951265,44,0.4708985453540663,False
eeg_conventional_relative_delta,gambling,rest,2.0,3.410605131648481e-13,1.061251831133767,44,8.185452315956354e-12,True
eeg_conventional_relative_delta,cognitive_control,rest,4.0,7.958078640513122e-13,1.1472097588682115,44,9.549694368615746e-12,True
eeg_conventional_relative_gamma,gambling,cognitive_control,336.0,0.06395960447559901,-0.2253751722583659,44,0.0877160289951072,False
eeg_conventional_relative_gamma,gambling,rest,83.0,1.2044120012433268e-07,0.350919507011236,44,3.042725055772615e-07,True
eeg_conventional_relative_gamma,cognitive_control,rest,83.0,1.2044120012433268e-07,0.4652854912981063,44,3.042725055772615e-07,True
eeg_conventional_relative_theta,gambling,cognitive_control,185.0,0.00016963173925432784,0.6338731096629207,44,0.0003540140645307711,True
eeg_conventional_relative_theta,gambling,rest,215.0,0.0007802155257650156,0.5867104061733557,44,0.00149801380946883,True
eeg_conventional_relative_theta,cognitive_control,rest,296.0,0.019470065238010648,0.41213681721939976,44,0.03222631487670728,True
